ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,RoboTwin 2.0 usage,Evaluation protocol,Demos per task,Reported benchmark numbers,RoboTwin2 Easy reported success rate,RoboTwin2 Hard reported success rate,RoboTwin2 Easy/Clean (50-clean train) previous SOTA success rate,RoboTwin2 Easy/Clean (50-clean train) previous SOTA name,RoboTwin2 Hard/Randomized (50-clean train) previous SOTA success rate,RoboTwin2 Hard/Randomized (50-clean train) previous SOTA name,RoboTwin2 Easy/Clean (50-clean+500-rand train) previous SOTA success rate,RoboTwin2 Easy/Clean (50-clean+500-rand train) previous SOTA name,RoboTwin2 Hard/Randomized (50-clean+500-rand train) previous SOTA success rate,RoboTwin2 Hard/Randomized (50-clean+500-rand train) previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
198,Universal Pose Pretraining for Generalizable Vision-Language-Action Policies,2026,arXiv.org,n/a,n/a,n/a,2602.19710,2026-02-23,source metadata publication date for arXiv 2602.19710,10.48550/arXiv.2602.19710,OpenAlex term search: 2506.18088; OpenAlex term search: RoboTwin 2; OpenAlex term search: RoboTwin 2.0; OpenAlex term search: RoboTwin 2.0 Randomized; OpenAlex term search: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; OpenAlex term search: RoboTwin-2.0; OpenAlex term search: Robotwin 2.0; Semantic Scholar citation graph; arXiv term search: RoboTwin 2.0; arXiv term search: RoboTwin-2.0; arXiv term search: Robotwin 2.0,RoboTwin 2.0 arXiv 2506.18088; term match: 2506.18088; term match: RoboTwin 2; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Randomized; term match: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; term match: RoboTwin-2.0; term match: Robotwin 2.0,indexed-citation,https://www.semanticscholar.org/paper/9b68406f1b01eb18349a94776f5e8087e963c852; Semantic Scholar: 9b68406f1b01eb18349a94776f5e8087e963c852; OpenAlex: W7131320297; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,50 clean demonstrations per task plus 500 heavily randomized demonstrations per task.,"Main Table II reports average success rates (%): pi0 67.00 Easy / 65.12 Hard, pi0.5 79.48 / 76.16, PaliGemma_expert 35.40 / 33.36, Pose-VLA without depth 79.91 / 79.10. Appendix Table VI additionally reports Pose-VLA(pi0) 81.30 / 80.72.",79.91,79.1,,,,,79.48,pi0.5,76.16,pi0.5,"subagent result audit usage_numbers_batch_06.json: Cached arXiv 2602.19710 states the model is trained on 2,500 clean demonstrations, 50 per task, plus 25,000 heavily randomized demonstrations, 500 per task, and reports average success over 100 evaluation trials per task. Table II gives Pose-VLA without depth averages 79.91 Easy and 79.10 Hard.",high,not-found,,"subagent checkpoint audit weights_batch_06.json: The official Pose-VLA project page reports RoboTwin 2.0 results and shows only a 'Code (Coming Soon)' button with no checkpoint/model link. Exact GitHub searches found no official repository. Hugging Face has unlinked PoseVLA-like model repos with model.safetensors under a third-party/user account, but they are not linked from the official project/paper and provide no evidence tying them to the reported RoboTwin 2.0 number.",medium,"subagent result audit usage_numbers_batch_06.json: Cached arXiv 2602.19710 states the model is trained on 2,500 clean demonstrations, 50 per task, plus 25,000 heavily randomized demonstrations, 500 per task, and reports average success over 100 evaluation trials per task. Table II gives Pose-VLA without depth averages 79.91 Easy and 79.10 Hard.",high,official-ish,Reports standard RoboTwin 2.0 Easy and Hard average success rates over 100 evaluation trials per task.
199,"UniVTAC: A Unified Simulation Platform for Visuo-Tactile Manipulation Data Generation, Learning, and Benchmarking",2026,arXiv.org,n/a,n/a,n/a,2602.10093,2026-02-10,source metadata publication date for arXiv 2602.10093,10.48550/arXiv.2602.10093,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/ee6f6ab522882255a2c18ba08f0cfe082f7d346e; Semantic Scholar: ee6f6ab522882255a2c18ba08f0cfe082f7d346e; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2602.10093; snippet: ulation-based methods have been proposed for robotic policy learning [ 45 , 11 , 48 , 30 , 33 , 9 , 8 , 36 , 24 , 18 , 2 , 31 ] , providing scalable environments for training and evaluation. Building upon these platforms, a number of simulation-based pipelines further focus on large-scale robot data generation. For example, the RoboTwin series [ 32 , 31 , 2 ] and RoboGen [ 42 ] employ expert code to synthesize high-quality, near-perfect manipulation trajectories. MimicGen [ 29 ] and DexMimicGen [ 15 ] extend data collection through human teleoperation, while other works [ 49 , 20 ] obtain expert policies via reinforcement learning with...",medium,,
200,V-CAGE: Context-Aware Generation and Verification for Scalable Long-Horizon Embodied Tasks,2026,arXiv.org,n/a,n/a,n/a,2601.15164,2026-01-21,source metadata publication date for arXiv 2601.15164,10.48550/arXiv.2601.15164,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/4ccb1d3bef9314435d2e5942d9040bbfff35561d; Semantic Scholar: 4ccb1d3bef9314435d2e5942d9040bbfff35561d,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"subagent result audit usage_numbers_batch_06.json: Cached arXiv 2601.15164 cites RoboTwin 2.0 in related work, but the experimental setup says the evaluation uses 35 tasks derived from the RoboTwin benchmark, citing Mu et al. 2025. Table 1 is described as success rates over 35 long-horizon tasks from the RoboTwin benchmark, not RoboTwin 2.0.",medium,,
201,V-CAGE: Vision-Closed-Loop Agentic Generation Engine for Robotic Manipulation,2026,preprint/unknown,n/a,n/a,n/a,2604.09036,2026-04-10,source metadata publication date for arXiv 2604.09036,10.48550/arXiv.2604.09036,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/8256feb8f88eda3d3be15da06e536df85b5b5dd3; Semantic Scholar: 8256feb8f88eda3d3be15da06e536df85b5b5dd3; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2604.09036; snippet: Models (LLMs) to automate the creation of robotic simulation tasks and training data, significantly reducing human engineering effort. Frameworks such as GenSim [ 15 ] and RoboGen [ 16 ] utilize LLMs to synthesize task code and environment specifications, enabling the generation of diverse manipulation skills. Building on this, RoboTwin 2.0 [ 1 ] introduces a large-scale data generator using generative digital twins and extensive domain randomization to improve policy robustness. While these works utilize functional object annotations—such as grasp points—to scale data collection, they primarily operate in an open-loop ”generate-and-execute”...",medium,,
202,VAT: Vision Action Transformer by Unlocking Full Representation of ViT,2025,arXiv.org,n/a,n/a,n/a,2512.06013,2025-12-03,source metadata publication date for arXiv 2512.06013,10.48550/arXiv.2512.06013,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/5fbc489ee954eadc473c95c18dd1b230ade9d65c; Semantic Scholar: 5fbc489ee954eadc473c95c18dd1b230ade9d65c; S2 citation contexts available,reports-results,robotwin2-easy,50,"Appendix Table 10 reports average success rate (%) under demo clean/Easy: RDT 34.50, pi0 46.42, ACT 29.74, Diffusion Policy 28.04, VAT 40.66.",40.66,,46.42,pi0,,,,,,,"subagent result audit usage_numbers_batch_06.json: Cached arXiv 2512.06013 says all policies are trained on the Aloha-AgileX embodiment using 50 demo clean demonstrations per task, and success is averaged over 100 evaluation episodes under the demo clean Easy setting. Table 10 gives VAT 40.66%.",high,not-found,,"subagent checkpoint audit weights_batch_06.json: The official VAT GitHub repository provides code/training/evaluation documentation but no public checkpoint or model-weight artifact. GitHub releases are empty, and exact Hugging Face searches did not find a VAT / Vision Action Transformer checkpoint tied to the RoboTwin 2.0 result.",high,"subagent result audit usage_numbers_batch_06.json: Cached arXiv 2512.06013 says all policies are trained on the Aloha-AgileX embodiment using 50 demo clean demonstrations per task, and success is averaged over 100 evaluation episodes under the demo clean Easy setting. Table 10 gives VAT 40.66%.",high,official-ish,Reports the standard RoboTwin 2.0 Easy/Clean success-rate evaluation with 50 clean demonstrations per task and 100 episodes.
203,Vidar: Embodied Video Diffusion Model for Generalist Manipulation,2025,preprint/unknown,n/a,n/a,n/a,2507.12898,2025-07-17,source metadata publication date for arXiv 2507.12898,10.48550/arXiv.2507.12898,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/4952104438a13e60c31e2482d806cec19ec1961a; Semantic Scholar: 4952104438a13e60c31e2482d806cec19ec1961a; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,Low-data regime: 20 episodes per task. Standard regime: 50 episodes per task.,Table 1 reports average success rates (%) across 50 tasks and 100 episodes: pi0 official standard 46.42 Clean / 16.34 Randomized; pi0.5 low 25.0 / 9.2 and standard 44.8 / 14.2; Vidar low 60.0 / 15.7 and standard 65.8 / 17.5.,65.8,17.5,44.8,pi0.5,14.2,pi0.5,,,,,"subagent result audit usage_numbers_batch_06.json: Cached PDF text 2507.12898, Section 3.1.1 defines low-data and standard data regimes for RoboTwin 2.0. Table 1 is labeled average success rates across 50 tasks, 100 episodes, and gives Vidar standard results of 65.8 Clean and 17.5 Randomized.",high,weight-but-not-for-number,,"subagent checkpoint audit weights_batch_06.json: The official Vidar project links a public Hugging Face repo, and the HF API lists VIDAR/MIDM_model.pt. The official GitHub README also links a public 'Pre-trained HunyuanVideo Checkpoint' repo with split model.zip files, and author-linked HF repos contain Vidar weights. However, the model cards and README do not identify these artifacts as the task-specific RoboTwin 2.0 checkpoints that produced the project-page RoboTwin success-rate table.",medium,"subagent result audit usage_numbers_batch_06.json: Cached PDF text 2507.12898, Section 3.1.1 defines low-data and standard data regimes for RoboTwin 2.0. Table 1 is labeled average success rates across 50 tasks, 100 episodes, and gives Vidar standard results of 65.8 Clean and 17.5 Randomized.",high,official-ish,Reports comparable RoboTwin 2.0 Clean and Randomized average success rates across 50 tasks and 100 episodes.
204,Video2Act: A Dual-System Video Diffusion Policy with Robotic Spatio-Motional Modeling,2025,arXiv.org,n/a,n/a,n/a,2512.03044,2025-12-02,source metadata publication date for arXiv 2512.03044,10.48550/arXiv.2512.03044,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/8e2f21448e908e6e3d1b76ae267f0f71ae58e051; Semantic Scholar: 8e2f21448e908e6e3d1b76ae267f0f71ae58e051; S2 citation contexts available,reports-results,robotwin2,100,"Video2Act reports average success of 54.1% on six RoboTwin 2.0 tasks and 54.6% on RoboTwin 1.0. On RoboTwin 2.0 it outperforms pi0.5, pi0, and RDT by 11.3, 10.9, and 8.1 percentage points, and outperforms VPP and VPDD by 9.4 and 15.6 points.",,,,,,,,,,,"subagent result audit usage_numbers_batch_06.json: Cached arXiv 2512.03044, Section 4.1 says the authors train and evaluate on six RoboTwin 2.0 tasks, generate 100 expert demonstrations for each task, and evaluate with 50 rollouts per task repeated three times. The quantitative results section states 54.1% average success on RoboTwin 2.0.",high,coming-soon-no-download-link,,"subagent checkpoint audit weights_batch_06.json: The official Video2Act project/repository reports RoboTwin simulation results, but the README says 'Code is coming soon' and the raw TODO lists model weights / pre-trained checkpoints for future release. The project JS and README link the paper and repository but no HF/model/checkpoint URL, and Hugging Face search for Video2Act returned no model artifacts.",high,"subagent result audit usage_numbers_batch_06.json: Cached arXiv 2512.03044, Section 4.1 says the authors train and evaluate on six RoboTwin 2.0 tasks, generate 100 expert demonstrations for each task, and evaluate with 50 rollouts per task repeated three times. The quantitative results section states 54.1% average success on RoboTwin 2.0.",high,otherwise,Reports a six-task RoboTwin 2.0 subset average rather than the standard 50-task Easy/Clean or Hard/Randomized protocol.
205,Vision-Language-Action Models for Robotics: A Review Towards Real-World Applications,2025,IEEE Access,IEEE Access,venue metadata from index,medium,2510.07077,2025-10-08,source metadata publication date for arXiv 2510.07077,10.1109/ACCESS.2025.3609980,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/58b30fe15c8fe3603f3f032ed28de6df606aabe8; Semantic Scholar: 58b30fe15c8fe3603f3f032ed28de6df606aabe8; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2510.07077; snippet: , PC, S PhysX SAPIEN 4 tasks, 36K demos ManiSkill 2 [ 387 ] Manip NA / 2.1K RGB-D, PC PhysX ManiSkill Extended task diversity ManiSkill 3 [ 388 ] Nav, Manip, WBC NA / NA RGB-D, PC, S PhysX ManiSkill 2 GPU-parallelized simulation ManiSkill-HAB [ 389 ] Manip 105 / 92 RGB-D PhysX ManiSkill 3, Habitat 2.0 HAB tasks from Habitat 2.0 RoboTwin [ 390 , 391 ] Manip NA / 731 RGB-D PhysX SAPIEN Dual-arm tasks Ravens [ 26 ] Manip NA / NA RGB-D PyBullet NA 10 tabletop tasks VIMA-BENCH [ 31 ] Manip NA / 29 RGB, S PyBullet Ravens 17 multimodal prompt tasks LoHoRavens [ 392 ] Manip 1 / 3 RGB-D PyBullet Ravens Long-horizon planning CALVIN [ 342 ] Manip 4 / 7...",medium,,
206,vla-eval: A Unified Evaluation Harness for Vision-Language-Action Models,2026,preprint/unknown,n/a,n/a,n/a,2603.13966,2026-03-14,source metadata publication date for arXiv 2603.13966,10.48550/arXiv.2603.13966,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/cb522f52c35d3e97ef569366699e2c8ba51c394b; Semantic Scholar: cb522f52c35d3e97ef569366699e2c8ba51c394b; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2603.13966; snippet: 5 ] 4.9 GB 7D C LIBERO [ 16 ] 6.0 GB 7D C CALVIN [ 18 ] 9.5 GB 7D C RLBench [ 11 ] 4.7 GB 8D I LIBERO-Pro [ 24 ] 6.2 GB 7D I RoboCerebra [ 10 ] 6.3 GB 7D I ManiSkill2 [ 9 ] 9.8 GB 7D I Kinetix [ 17 ] 10.0 GB 6D I MIKASA-Robo [ 5 ] 10.1 GB 8D I LIBERO-Mem [ 6 ] 11.3 GB 7D I RoboMME [ 7 ] 17.0 GB 8D I VLABench [ 22 ] 17.7 GB 7D I RoboTwin 2.0 [ 4 ] 28.6 GB 14D I RoboCasa [ 19 ] 35.6 GB 7D I Table I lists all 14 supported benchmarks with action spaces from 6D to 14D and Docker images from 4.7 to 35.6 GB. Model servers are implemented for six models: CogACT [ 14 ] , OpenVLA [ 13 ] , OpenVLA-OFT [ 12 ] , π 0 \pi_{0} [ 3 ] / π 0 \pi_{0} -FAST [ 20...",medium,,
207,VLA Knows Its Limits,2026,arXiv.org,n/a,n/a,n/a,2602.21445,2026-02-24,source metadata publication date for arXiv 2602.21445,10.48550/arXiv.2602.21445,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/d94cb187365c031664ff5c51a204fb336f99fa8d; Semantic Scholar: d94cb187365c031664ff5c51a204fb336f99fa8d; S2 citation contexts available,reports-results,robotwin2-horizon-ablation,not reported,"Table 3 compares pi0.5 on RoboTwin tasks. AutoHorizon task success rates include 100.0, 68.0, 91.0, 92.0, 85.3, 84.7, and 75.0.",,,,,,,,,,,"2026-05-11 subagent result audit: cached full text 2602.21445.txt, Table 3, compares pi0.5 on RoboTwin tasks.",high,unclear,,2026-05-11 result reclassification pass did not separately audit reported-number checkpoint availability.,low,"2026-05-11 subagent result audit: cached full text 2602.21445.txt, Table 3, compares pi0.5 on RoboTwin tasks.",high,otherwise,"Reports a RoboTwin horizon-ablation diagnostic with selected task success rates, not a standard Easy/Clean or Hard/Randomized benchmark aggregate."
208,VLA-OPD: Bridging Offline SFT and Online RL for Vision-Language-Action Models via On-Policy Distillation,2026,preprint/unknown,n/a,n/a,n/a,2603.26666,2026-03-27,source metadata publication date for arXiv 2603.26666,10.48550/arXiv.2603.26666,OpenAlex term search: 2506.18088; OpenAlex term search: RoboTwin 2; OpenAlex term search: RoboTwin 2.0; OpenAlex term search: RoboTwin 2.0 Hard; OpenAlex term search: RoboTwin 2.0 Randomized; OpenAlex term search: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; OpenAlex term search: RoboTwin-2.0; OpenAlex term search: RoboTwin2.0; OpenAlex term search: Robotwin 2.0; Semantic Scholar citation graph; arXiv term search: RoboTwin2.0,RoboTwin 2.0 arXiv 2506.18088; term match: 2506.18088; term match: RoboTwin 2; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Hard; term match: RoboTwin 2.0 Randomized; term match: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; term match: RoboTwin-2.0; term match: RoboTwin2.0; term match: Robotwin 2.0,indexed-citation,https://www.semanticscholar.org/paper/fa50568946402120bb46c1a29715428d16259d7e; Semantic Scholar: fa50568946402120bb46c1a29715428d16259d7e; OpenAlex: W7144391522,reports-results,robotwin2,1000 demos/task for the full-dataset SFT initialization,"Table 3 reports selected RoboTwin2.0 task evaluation. VLA-OPD Distill reports task success rates 66.4, 90.6, 52.3, and 75.0, averaging 71.1.",,,,,,,,,,,2026-05-11 second-pass audit: demonstration count refers to the full-dataset SFT initialization; Table 3 reports selected RoboTwin2.0 task evaluation.,high,unclear,,2026-05-11 result reclassification pass did not separately audit reported-number checkpoint availability.,low,"2026-05-11 cross-tracker and result audits: cached full text 2603.26666.txt, Table 3, reports selected RoboTwin2.0 task success rates.",high,otherwise,"Reports selected RoboTwin 2.0 task success rates and an average over four tasks, not a comparable full benchmark protocol."
209,VLA-Thinker: Boosting Vision-Language-Action Models through Thinking-with-Image Reasoning,2026,preprint/unknown,n/a,n/a,n/a,2603.14523,2026-03-15,source metadata publication date for arXiv 2603.14523,10.48550/arXiv.2603.14523,OpenAlex term search: 10.48550/arXiv.2506.18088; OpenAlex term search: 2506.18088; OpenAlex term search: RoboTwin 2; OpenAlex term search: RoboTwin 2.0; OpenAlex term search: RoboTwin 2.0 Clean; OpenAlex term search: RoboTwin 2.0 Randomized; OpenAlex term search: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; OpenAlex term search: RoboTwin-2.0; OpenAlex term search: RoboTwin2.0; OpenAlex term search: Robotwin 2.0; Semantic Scholar citation graph; Semantic Scholar term search: RoboTwin 2; arXiv term search: RoboTwin 2.0; arXiv term search: RoboTwin-2.0; arXiv term search: Robotwin 2.0,RoboTwin 2.0 arXiv 2506.18088; term match: 10.48550/arXiv.2506.18088; term match: 2506.18088; term match: RoboTwin 2; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Clean; term match: RoboTwin 2.0 Randomized; term match: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; term match: RoboTwin-2.0; term match: RoboTwin2.0; term match: Robotwin 2.0,indexed-citation,https://www.semanticscholar.org/paper/6e166e7b5d08595056288ddbe4a700a9d1bf9ae6; Semantic Scholar: 6e166e7b5d08595056288ddbe4a700a9d1bf9ae6; OpenAlex: W7139145424; S2 citation contexts available,reports-results,robotwin2-hard,not reported,"Table 3 reports task success rate (%) under 100 randomized initial conditions per task. VLA-Thinker averages: Short 62.3, Medium 70.7, Long/Extra-long 64.6. Baseline averages include pi0 45.5/58.8/43.3, RDT 24.5/47.8/27.8, pi0-FAST 27.3/51.8/33.8, DeepThinkVLA 55.0/65.3/57.8, OpenVLA-OFT 21.3/47.1/46.5 for Short/Medium/Long groups.",,,,,,,,,,,"subagent result audit usage_numbers_batch_06.json: Cached arXiv 2603.14523 states the benchmark uses RoboTwin2.0, adopts domain-randomized settings, evaluates each task on 100 held-out test scenarios, and selects 12 representative tasks categorized by temporal horizon. Table 3 reports VLA-Thinker success rates by horizon group.",high,claimed-no-download-link,,"subagent checkpoint audit weights_batch_06.json: The official VLA-Thinker project links a Hugging Face model/org page, and the GitHub README shows weights/model badges. The referenced HF model repos VLA-Thinker/VLA-Thinker-7B and VLA-Thinker/VLA-Thinker-SFT are public but contain only .gitattributes with usedStorage 0, and the related RoboTwin2.0-cot dataset repo is similarly empty. I found no downloadable checkpoint file tied to the reported RoboTwin 2.0 numbers.",high,"subagent result audit usage_numbers_batch_06.json: Cached arXiv 2603.14523 states the benchmark uses RoboTwin2.0, adopts domain-randomized settings, evaluates each task on 100 held-out test scenarios, and selects 12 representative tasks categorized by temporal horizon. Table 3 reports VLA-Thinker success rates by horizon group.",high,otherwise,Uses randomized RoboTwin 2.0 settings but reports 12 representative horizon-grouped tasks rather than the standard full Hard/Randomized aggregate.
