ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,SimplerEnv usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Google Robot / Fractal VM,Google Robot / Fractal VA,WidowX / Bridge,Google Robot / Fractal VM previous SOTA success rate,Google Robot / Fractal VM previous SOTA name,Google Robot / Fractal VA previous SOTA success rate,Google Robot / Fractal VA previous SOTA name,WidowX / Bridge previous SOTA success rate,WidowX / Bridge previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
91,StarVLA-$\alpha$: Reducing Complexity in Vision-Language-Action Systems,2026,preprint/unknown,n/a,n/a,n/a,2604.11757,2026-04-13,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph; OpenAlex term search: Real Robot Setups SIMPLER; OpenAlex term search: SIMPLER WidowX; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/13790ee8d1cddc5102b22dcf78afeb01533f82c3; https://arxiv.org/abs/2604.11757; https://openalex.org/W7154270722; https://openalex.org/W7154540229,reports-results,google-fractal-vm; google-fractal-va; widowx-bridge,not reported,Google Robot / Fractal VM=76.0; Google Robot / Fractal VA=70.2; WidowX / Bridge=64.6,76.0,70.2,64.6,72.7,pi0.5,68.4,pi0.5,62.0,GR00T-N1.6,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=76.0; Google Robot / Fractal VA=70.2; WidowX / Bridge=64.6,high,weight-but-not-for-number,,"Tracked numbers are the StarVLA-alpha Specialist row: Google Robot / Fractal VM=76.0, Google Robot / Fractal VA=70.2, and WidowX / Bridge=64.6. The paper states the VLM is initialized from public Qwen3-VL-4B while action heads are randomly initialized and trained directly on target benchmark data, so the public Qwen3-VL base is only an initialization and not the result-producing policy. The official StarVLA model zoo and Hugging Face org contain related StarVLA SimplerEnv checkpoints, but their model names/metrics differ and none is tied to the StarVLA-alpha 64.6/70.2/76.0 specialist row.",high,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=76.0; Google Robot / Fractal VA=70.2; WidowX / Bridge=64.6,high,official-ish,"Reports standard SimplerEnv Google Robot / Fractal VM, Google Robot / Fractal VA, and WidowX / Bridge success-rate suite numbers."
92,Text-Guided 6D Object Pose Rearrangement via Closed-Loop VLM Agents,2026,preprint/unknown,n/a,n/a,n/a,2604.09781,2026-04-10,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/fbee03033a4d991ef6203b984c7f06a16a218536; https://arxiv.org/abs/2604.09781,reports-results,simplerenv-result-unattributed,not reported,Reports per-task SimplerEnv results without a clean suite average.,,,,,,,,,,Subagent verified per-task SimplerEnv result table; suite cells left blank.,high,not-found,,"Tracked row is per-task SIMPLER WidowX + Bridge robot-manipulation results for the paper's training-free method. The paper states the method uses pretrained VLMs without additional fine-tuning or new modules; the SIMPLER table labels the proposed method as Training-free. The official repository has mesh-setting inference code that requires an OpenAI API key, marks RGB-D setting and open-source model code as TODO, and has no releases or checkpoint assets. No official Hugging Face model was found, so there is no public downloadable checkpoint tied to the tracked SIMPLER per-task results.",high,Subagent verified per-task SimplerEnv result table; suite cells left blank.,high,official-ish,"Reports final success rates on the standard four SimplerEnv WidowX / Bridge tasks, but only per-task rather than a suite average."
93,Thinking in Text and Images: Interleaved Vision--Language Reasoning Traces for Long-Horizon Robot Manipulation,2026,preprint/unknown,n/a,n/a,n/a,2605.00438,2026-05-01,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/b4c5a6163c4d7d82d5e73618caa763fe3dccbf16; https://arxiv.org/abs/2605.00438; https://openalex.org/W7160074492; https://openalex.org/W7160360097,reports-results,widowx-bridge,not reported,WidowX / Bridge=59.4,,,59.4,,,,,42.7,SpatialVLA,Independent subagent full-text/result audit verified: WidowX / Bridge=59.4,high,weight-but-not-for-number,,"Tracked number is IVLR's SimplerEnv-WidowX overall success of 59.4. The paper says the reported SimplerEnv model is initialized from Show-o2 1.5B and then trained with no frozen modules for about 60K SimplerEnv steps; that makes the public Show-o2 checkpoint only an initialization, not the result-producing IVLR robot policy/action decoder. The arXiv page/source expose no project, code, or checkpoint link, and exact-title/GitHub/Hugging Face searches found no IVLR or paper-linked model artifact. Large weights were not downloaded; Hugging Face was checked by metadata/listing only.",high,Independent subagent full-text/result audit verified: WidowX / Bridge=59.4,high,official-ish,Reports a standard SimplerEnv WidowX / Bridge success-rate suite number.
94,Toward Reliable Sim-to-Real Predictability for MoE-based Robust Quadrupedal Locomotion,2026,arXiv.org,n/a,n/a,n/a,2602.00678,2026-01-31,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.00678,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/dc09dbb65c80b1c95fefcd8766f7cdbbd32d7e10; https://arxiv.org/abs/2602.00678; DOI 10.48550/arXiv.2602.00678,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
95,Toward Visually Realistic Simulation: A Benchmark for Evaluating Robot Manipulation in Simulation,2026,preprint/unknown,n/a,n/a,n/a,2605.06311,2026-05-07,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/c05d1e95ddd72a9e8afc8e2b84285d7df548ffb2; https://arxiv.org/abs/2605.06311,reports-results,simplerenv-result-unattributed,not reported,Reports SimplerEnv result without a clean VM/VA/WidowX suite average.,,,,,,,,,,Subagent verified numeric SimplerEnv result and left suite cells blank.,high,weight-but-not-for-number,,"The VISER paper evaluates mainstream VLAs in its simulation, including Octo, OpenVLA, and X-VLA, but provides no project page, repository, model, release, or checkpoint download for a VISER/SimplerEnv reported-number artifact. Public Octo-base and OpenVLA model repositories exist and are related baseline policy weights, but the paper does not identify a specific public checkpoint/release as the tracked reported-number artifact.",medium,Subagent verified numeric SimplerEnv result and left suite cells blank.,high,otherwise,"VISER replaces SimplerEnv assets and rendering and evaluates its own visually realistic benchmark tasks, not a standard VM, VA, or WidowX suite."
96,Towards Generalizable Robotic Manipulation in Dynamic Environments,2026,preprint/unknown,n/a,n/a,n/a,2603.15620,2026-03-16,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/7c0b2b822d1da1f48f64314432f295193ae76543; https://arxiv.org/abs/2603.15620,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
97,Towards Long-Lived Robots: Continual Learning VLA Models via Reinforcement Fine-Tuning,2026,arXiv.org,n/a,n/a,n/a,2602.10503,2026-02-11,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.10503,Semantic Scholar citation graph; OpenAlex term search: SIMPLER Google Robot Bridge; OpenAlex term search: SIMPLER WidowX; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/ec198796c9bf661e6659a54617f648eac403d6f7; https://arxiv.org/abs/2602.10503; DOI 10.48550/arXiv.2602.10503; https://openalex.org/W7128678176; https://openalex.org/W7128745487,reports-results,google-fractal-vm; widowx-bridge,not reported,Google Robot / Fractal VM=79.1; WidowX / Bridge=69.0,79.1,,69.0,82.8,NORA-1.5 (DPO),,,65.5,NORA-Long (Baseline),Independent subagent full-text/result audit verified: Google Robot / Fractal VM=79.1; WidowX / Bridge=69.0,high,weight-but-not-for-number,,"Tracked numbers are LifeLong-RFT on SimplerEnv: Google Robot / Fractal VM=79.1 and WidowX / Bridge=69.0. The paper states it adopts NORA-Long as the base VLA model and performs full-parameter reinforcement fine-tuning, training on Fractal for Google Robot and BridgeData V2 for WidowX. The public declare-lab/nora-long checkpoint is therefore only the base model, not the LifeLong-RFT fine-tuned checkpoint that produced the tracked SimplerEnv numbers. Hugging Face's paper page lists no model or dataset citing this paper, and exact searches/author page inspection found only the paper link, not released LifeLong-RFT weights.",high,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=79.1; WidowX / Bridge=69.0,high,official-ish,Reports standard SimplerEnv Google Robot / Fractal VM and WidowX / Bridge success rates under official-style suite labels.
98,TRAP: Hijacking VLA CoT-Reasoning via Adversarial Patches,2026,preprint/unknown,n/a,n/a,n/a,2603.23117,2026-03-24,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/ed7471985fb3ccf6e4999359fe21a6a92476a1fc; https://arxiv.org/abs/2603.23117,reports-results,simplerenv-result-unattributed,not reported,Reports SimplerEnv attack success-rate metric; no standard suite average.,,,,,,,,,,Subagent verified attack success metric and left suite cells blank.,high,weight-but-not-for-number,,"Tracked row is a SimplerEnv attack metric, not a standard policy success average. The paper evaluates frozen victim VLAs and optimizes an adversarial patch with PGD; it explicitly says released official checkpoints differ across victim models and that InstructVLA/MolmoACT are evaluated in SimplerEnv. Those victim checkpoints are related baseline/model weights, but the result-producing artifact for the tracked attack number would be TRAP's optimized patch and calibration/attack setup. The arXiv page/source and Hugging Face paper page expose no code, patch image/checkpoint, model card, dataset, or release link tied to the reported attack metric.",high,Subagent verified attack success metric and left suite cells blank.,high,otherwise,Reports a SimplerEnv adversarial attack success metric rather than a standard Google Robot or WidowX suite success average.
99,Twin-DP3: View-Invariant 3D Diffusion Policy With Digital Twin,2026,IEEE Robotics and Automation Letters,IEEE Robotics and Automation Letters,Subagent verified accepted venue metadata; no free full text was available to resolve usage.,high,,n/a,n/a,10.1109/LRA.2026.3655308,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/f3db7ba6c870629159a57380869af559ca303c70; DOI 10.1109/LRA.2026.3655308,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,No open full text/PDF was converted in the audit cache; citation graph confirms the citation only.,low,,
100,TwinBrainVLA: Unleashing the Potential of Generalist VLMs for Embodied Tasks via Asymmetric Mixture-of-Transformers,2026,arXiv.org,n/a,n/a,n/a,2601.14133,2026-01-20,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2601.14133,Semantic Scholar citation graph; OpenAlex term search: SIMPLER WidowX; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/a9e5c85d56f2ee99d21b5068be4d69a3fb47f9ae; https://arxiv.org/abs/2601.14133; DOI 10.48550/arXiv.2601.14133; https://openalex.org/W7125268813; https://openalex.org/W7125352647,reports-results,widowx-bridge,not reported,WidowX / Bridge=64.5,,,64.5,,,,,57.1,Isaac-GR00T-N1.6-Bridge; pi0.5,Independent subagent full-text/result audit verified: WidowX / Bridge=64.5,high,weight-but-not-for-number,,"Tracked number is TwinBrainVLA's WidowX / Bridge=64.5. The paper instantiates TwinBrainVLA with Qwen2.5-VL-3B-Instruct and Qwen3-VL-4B-Instruct backbones, but the reported policy trains a Right Brain, state encoder, and flow-matching action expert on Bridge/Fractal robot data. Public Qwen checkpoints are only initialization/generalist VLM weights. The official GitHub repository contains README/assets only and GitHub metadata reports no releases; Hugging Face's paper page has no linked models/datasets; HF model search found no official TwinBrainVLA checkpoint.",high,Independent subagent full-text/result audit verified: WidowX / Bridge=64.5,high,official-ish,Reports a standard SimplerEnv WidowX / Bridge success rate for the model.
101,UAOR: Uncertainty-aware Observation Reinjection for Vision-Language-Action Models,2026,arXiv.org,n/a,n/a,n/a,2602.18020,2026-02-20,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.18020,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/672f5a4416f43a087d380a7ac2a2f002a003ba6c; https://arxiv.org/abs/2602.18020; DOI 10.48550/arXiv.2602.18020,reports-results,google-fractal-vm,not reported,Google Robot / Fractal VM=75.7,75.7,,,73.1,CogACT (reproduced),,,,,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=75.7,high,number-associated weight available,https://huggingface.co/CogACT/CogACT-Large/blob/main/checkpoints/CogACT-Large.pt,"UAOR is explicitly presented as a training-free, plug-and-play inference module, and the official project reports the tracked SIMPLER CogACT result as 73.1 to 75.7 with CogACT (7B). The project page still marks code as coming soon and I found no UAOR-specific learned checkpoint, so the learned policy weights for the tracked number are the underlying public CogACT checkpoint. CogACT-Large is public and lists checkpoints/CogACT-Large.pt; no large weight file was downloaded. Confidence remains medium because UAOR names CogACT (7B) but does not unambiguously name the exact CogACT Base/Large Hugging Face variant.",medium,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=75.7,high,official-ish,Reports a standard SimplerEnv Google Robot / Fractal VM success rate.
102,Uncovering Linguistic Fragility in Vision-Language-Action Models via Diversity-Aware Red Teaming,2026,preprint/unknown,n/a,n/a,n/a,2604.05595,2026-04-07,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/c76df655a1ead59b9496c7e4a38722fd62cedb7a; https://arxiv.org/abs/2604.05595; https://openalex.org/W7152933446,reports-results,simplerenv-result-unattributed,not reported,Reports SimplerEnv attack metric; no standard suite average.,,,,,,,,,,Subagent verified attack metric result and left suite cells blank.,high,coming-soon-no-download-link,,"Tracked row is a SimplerEnv attack metric for DAERT, not a clean policy success average. The paper trains a Qwen3-VL-4B attacker/instruction generator on LIBERO/pi0 and transfers it zero-shot to attack OpenVLA-7B in SimplerEnv, reporting attack performance of 82.0 on Pick Coke Can. The target VLA weights such as OpenVLA/pi0 are public related weights, but they are not the DAERT attacker policy or generated-instruction artifact that produced the tracked attack number. The paper says code and generated data will be available and later commits to open-sourcing generated adversarial instructions, but provides no current GitHub/Hugging Face/ModelScope/Drive link; exact HF/GitHub searches found no DAERT checkpoint or dataset.",high,Subagent verified attack metric result and left suite cells blank.,high,otherwise,"Reports a SimplerEnv attack metric for linguistic red teaming, not a comparable standard suite success average."
