ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,OpenAlex arXiv cited-by count,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,RoboCasa usage,Evaluation protocol,Demos per task,Reported benchmark numbers,RSS24 reported success rate,RoboCasa365 reported success rate,GR1 reported success rate,RSS24 previous SOTA success rate,RSS24 previous SOTA name,RoboCasa365 previous SOTA success rate,RoboCasa365 previous SOTA name,GR1 previous SOTA success rate,GR1 previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
132,3D-Generalist: Self-Improving Vision-Language-Action Models for Crafting 3D Worlds,2025,arXiv.org,n/a,n/a,n/a,2507.06484,,2025-07-09,arXiv API published date,10.48550/arXiv.2507.06484,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/1897d73f6e12d7710cc443d4d8baed4510da2723,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,full text unavailable in the provided cache,high,,
133,A Careful Examination of Large Behavior Models for Multitask Dexterous Manipulation,2025,arXiv.org,n/a,n/a,n/a,2507.05331,,2025-07-07,arXiv API published date,10.48550/arXiv.2507.05331,OpenAlex citation graph; Semantic Scholar citation graph,RoboCasa RSS DOI 10.15607/RSS.2024.XX.050; RoboCasa arXiv 2406.02523,indexed-citation,https://openalex.org/W7154467967; OpenAlex: W7154467967,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,full text unavailable in the provided cache,high,,
134,A Review of Embodied Grasping,2025,Italian National Conference on Sensors,Italian National Conference on Sensors,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.3390/s25030852,OpenAlex citation graph; OpenAlex term search: RoboCasa; OpenCitations DOI graph; Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph,RoboCasa RSS DOI 10.15607/RSS.2024.XX.050; RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4406984533; OpenAlex: W4406984533; https://doi.org/10.3390/s25030852,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,full text unavailable in the provided cache,high,,
135,SCIZOR: A Self-Supervised Approach to Data Curation for Large-Scale Imitation Learning,2025,arXiv.org,n/a,n/a,n/a,2505.22626,,2025-05-28,arXiv API published date,10.26153/tsw/61142,CORE term search: RoboCasa; manual full-text audit; OpenAlex term search: RoboCasa; Semantic Scholar citation graph,term match; manual full-text audit: cites RoboCasa arXiv 2406.02523; RoboCasa arXiv 2406.02523,indexed-citation,https://core.ac.uk/download/666809989.pdf; https://openalex.org/W4415033478; OpenAlex: W4415033478; Merged duplicate DOI(s): 10.48550/arXiv.2505.22626,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only in the references near the MimicGen citation; no RoboCasa results or data usage are reported. Merged duplicate row 276: Full text context only shows RoboCasa in references: Nasiriany et al. RoboCasa arXiv:2406.02523.,high,,
136,A Study on Enhancing the Generalization Ability of Visuomotor Policies via Data Augmentation,2025,ArXiv.org,n/a,n/a,n/a,2511.09932,,2025-11-13,arXiv API published date,10.48550/arxiv.2511.09932,OpenAlex term search: RoboCasa; manual full-text audit,term match; manual full-text audit: cites RoboCasa arXiv 2406.02523,manual-citation,https://openalex.org/W4416246299; OpenAlex: W4416246299,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only as a cited work in the bibliography; the paper does not report RoboCasa experiments.,high,,
137,"A Survey on Diffusion Policy for Robotic Manipulation: Taxonomy, Analysis, and Future Directions",2025,preprint,n/a,n/a,n/a,,,n/a,n/a,10.36227/techrxiv.174378343.39356214/v1,OpenAlex term search: RoboCasa,term match; manual audit: no countable RoboCasa citation confirmed,term-only,https://openalex.org/W4409160955; OpenAlex: W4409160955,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
138,A Survey on Efficient Vision-Language-Action Models,2025,arXiv.org,n/a,n/a,n/a,2510.24795,,2025-10-27,arXiv API published date,10.48550/arXiv.2510.24795,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/a7a55c6470e4fb4d4a6cc899f22ae871d6477fe0,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Survey section says RoboCasa provides a large-scale environment for daily household activities among other simulation datasets/benchmarks; no RoboCasa experiments or metrics are reported.,high,,
139,A Survey on Reinforcement Learning of Vision-Language-Action Models for Robotic Manipulation,2025,article,unknown article venue,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.36227/techrxiv.176531955.54563920/v1,OpenAlex term search: RoboCasa; manual full-text audit,term match; manual full-text audit: cites RoboCasa arXiv 2406.02523,manual-citation,https://openalex.org/W4417174623; OpenAlex: W4417174623,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Manual full text is a survey: RoboCasa is described as a simulation benchmark and appears in a benchmark overview table with dataset size/tasks, not as an evaluated method or data source for experiments.",high,,
140,A Taxonomy for Evaluating Generalist Robot Manipulation Policies,2025,IEEE Robotics and Automation Letters,IEEE Robotics and Automation Letters,derived from Venue/status/DOI metadata,medium,2503.01238,,2025-03-03,arXiv API published date,10.1109/LRA.2026.3656785,OpenAlex citation graph; Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph,RoboCasa RSS DOI 10.15607/RSS.2024.XX.050; RoboCasa arXiv 2406.02523,indexed-citation,https://openalex.org/W7125650889; OpenAlex: W7125650889; https://doi.org/10.1109/lra.2026.3656785; https://www.semanticscholar.org/paper/d76e8972e98e3bf7bff90d938fdea8af15b1671f; Merged duplicate DOI(s): 10.48550/arXiv.2503.01238,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,The paper's case studies are BridgeV2 and ALOHA; RoboCasa appears in related work/references as a prior robot learning benchmark. Merged duplicate row 141: Duplicate taxonomy paper context: RoboCasa is only cited as prior work; reported experiments are not on RoboCasa.,high,,
142,ACG: Action Coherence Guidance for Flow-based Vision-Language-Action models,2025,arXiv.org,n/a,arXiv API has no journal_ref/DOI venue metadata; web search found arXiv/HuggingFace paper pages but no accepted conference or journal record.,n/a,2510.22201,0,2025-10-25,"arXiv API for 2510.22201 returned entry 2510.22201v2 with published timestamp 2025-10-25 and updated 2026-03-25, so first version date is 2025-10-25.",10.48550/arXiv.2510.22201,Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://www.semanticscholar.org/paper/ee082515d9fe33c5d29e718ff12cd900dbacfaa0; https://www.semanticscholar.org/paper/6754655763ec37128f51160c394b3122b212ebe5,reports-results,gr1,100 demonstrations per task,"RoboCasa success rate (%), Table I: ACG 39.3 (+/-3.02); WNG 35.0 (+/-0.47); CFG 35.0 (+/-1.35); Feature Smoothing 34.4 (+/-1.15); Action Smoothing 34.0 (+/-1.40); Ensemble n=2 34.0 (+/-0.62); Ensemble n=5 33.9 (+/-0.71); Vanilla GR00T-N1 32.6 (+/-2.07). Table I overall average across simulation/real-world: ACG 53.6 (+/-0.73), WNG 47.7 (+/-3.34), Vanilla 38.8 (+/-2.34).",,,39.3,,,,,35.0,CFG / WNG tie,Local text /tmp/robocasa_protocol_audit/txt/142_https_arxiv.org_pdf_2510.22201.txt and duplicate 143: Table I lines 301-315; implementation details noting 100 RoboCasa demonstrations per task lines 323-337; benchmark-result discussion lines 340-346.,high,number-associated weight available,https://huggingface.co/DAVIAN-Robotics/GR00T-N1-2B-tuned-RoboCasa-MG100-FrankaPandaGripper,"The ACG paper reports RoboCasa success for ACG versus the vanilla GR00T-N1 baseline: https://arxiv.org/abs/2510.22201.; The official ACG Hugging Face model card says it provides post-trained GR00T-N1-2B weights used in the paper, lists the RoboCasa MG100 model, and gives rollout commands with and without ACG using this model_path.; The Hugging Face API lists actual checkpoint shards, including model-00001-of-00002.safetensors and model-00002-of-00002.safetensors. Notes: ACG is training-free test-time guidance, so the public RoboCasa-tuned GR00T checkpoint plus the released ACG rollout configuration is the model artifact for the tracked with-ACG number.",high,"Table I reports RoboCasa success rates: Vanilla GR00T-N1 32.6%, WNG 35.0%, and ACG (Ours) 39.3%; implementation states multi-task training on RoboCasa uses 100 demonstrations per task. Merged duplicate row 143: Same ACG paper: Table I reports RoboCasa success rates, including Vanilla GR00T-N1 32.6% and ACG (Ours) 39.3%, with 100 demonstrations per task for RoboCasa training.",high,official-ish,Reports GR1/Tabletop-style RoboCasa success rates with 100 demonstrations per task using the standard RoboCasa evaluation framing.
144,Action Tokenizer Matters in In-Context Imitation Learning,2025,IEEE/RJS International Conference on Intelligent RObots and Systems,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"DOI/Crossref for 10.1109/IROS60139.2025.11246836 lists container-title and event as 2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS). AIT publication page lists the host publication as Proceedings of IEEE/RSJ IROS, pages 13490-13496, publication status Published - 2025, DOI 10.1109/iros60139.2025.11246836.",high,2503.01206,0,2025-03-03,arXiv API for 2503.01206 returned entry 2503.01206v3 with published timestamp 2025-03-03 and updated 2025-10-22; arXiv abs/search shows Date Mon Mar 3 06:02:53 2025.,10.1109/IROS60139.2025.11246836,OpenAlex citation graph; Semantic Scholar citation graph,RoboCasa RSS DOI 10.15607/RSS.2024.XX.050,indexed-citation,https://openalex.org/W4416749798; OpenAlex: W4416749798,reports-results,rss24,not reported,"RoboCasa Avg. success, Table I: ICRT+LipVQ-VAE 0.530; ICRT+LFQ-VAE 0.489; ICRT+Bin 0.483; BC-Transformer 0.477; ICRT+VQ-VAE 0.475; ICRT+FAST 0.471; ICRT+MLP 0.442; MCR 0.120; ACT 0.083. Skill values for ICRT+LipVQ-VAE: Pick&Place 0.32, Open/Close Doors 0.80, Open/Close Drawers 0.84, Turning Levers 0.68, Twisting Knobs 0.41, Insertion 0.41, Pressing Buttons 0.59. Lipschitz ablation Table IV: ICRT+MLP 0.442 -> 0.465; ICRT+VQ-VAE 0.475 -> ICRT+LipVQ-VAE 0.530.",53.0,,,48.9,ICRT+LFQ-VAE,,,,,Local text /tmp/robocasa_protocol_audit/txt/144_https_arxiv.org_pdf_2503.01206.txt: RoboCasa results description lines 217-234; Table I lines 237-251; Table IV lines 284-296.,high,number-associated weight available,https://mbzuaiac-my.sharepoint.com/:u:/g/personal/an_vuong_mbzuai_ac_ae/EYkH6i1UUhxHvEJ-wtG_wg0Bmer1_uFScjOXqoI2TjVtag?e=Ze0maL,"The arXiv page states that code and checkpoints are available from the official project page: https://arxiv.org/abs/2503.01206.; The official GitHub README has a Weights section pointing to the SharePoint link and evaluation instructions that take a checkpoint path: https://github.com/andvg3/LipVQ-VAE.; A browser dry-run reached a public OneDrive preview for weight.zip with a Download control and message that the zip is too large to preview; no large download was performed. Notes: Counted as number-associated because the official paper/repo tie the weights archive to the paper checkpoints, but the archive internals were not inspected without downloading the large zip.",medium,"Table I reports robotic manipulation results on RoboCasa across skill categories, with ICRT+LipVQ-VAE (ours) Avg. 0.530 versus baselines such as ICRT+Bin 0.483 and BC-Transformer 0.477.",high,official-ish,Reports RSS24-style RoboCasa average success and skill-category success rates on the RoboCasa benchmark.
145,AgentWorld: An Interactive Simulation Platform for Scene Construction and Mobile Robotic Manipulation,2025,arXiv.org,n/a,n/a,n/a,2508.07770,,2025-08-11,arXiv API published date,10.48550/arXiv.2508.07770,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/571bbc574016cb0a2389f74df199cc07e8e73d1e,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"RoboCasa appears in Table 1 as a comparison row for simulation platform assets/data collection, while AgentWorld reports its own dataset results; no RoboCasa benchmark results are reported.",high,,
146,An Anatomy of Vision-Language-Action Models: From Modules to Milestones and Challenges,2025,arXiv.org,n/a,n/a,n/a,2512.11362,,2025-12-12,arXiv API published date,10.48550/arXiv.2512.11362,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/241d6767eb483038411a1220c3451b54b906a6d3,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Survey text says RoboCasa and CoVLA provide large-scale high-fidelity environments; the citation is descriptive with no RoboCasa experiment.,high,,
147,AnchorDream: Repurposing Video Diffusion for Embodiment-Aware Robot Data Synthesis,2025,arXiv.org,n/a,arXiv API has no journal_ref/DOI venue metadata; web search found arXiv/paper-index pages only and no accepted conference or journal record.,n/a,2512.11797,,2025-12-12,arXiv API for 2512.11797 returned entry 2512.11797v1 with published timestamp 2025-12-12.,10.48550/arXiv.2512.11797,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/03ad837bde3f5d77e623bcc3832d8e631d167560,reports-results,rss24,50 human demonstrations per task,"RoboCasa Table I average success (%): Human50 22.5; Human50+AnchorDream300 30.7; Human50+MimicGen300 oracle 33.3. Skill averages for AnchorDream300: pick/place 4.3, doors 41.5, drawers 48.0, turning levers 54.7, twisting knobs 21.0, insertion 14.0, pressing buttons 68.7. Table II generated-only average: Human50 22.5, DreamGen10K 20.6, AnchorDream300 24.8. Table III ablation avg: Human50 22.5, Human50+AnchorDream300 30.7, w/o global trajectory 26.6, shortened inference window 28.1. Figure 5 scaling on 7-task subset rises roughly from 16 at 0 generated demos to 36 at 1000 generated demos.",30.7,,,33.3,MimicGen300 oracle upper bound,,,,,Local text /tmp/robocasa_protocol_audit/txt/147_https_arxiv.org_pdf_2512.11797.txt: Table I lines 268-276; evaluation setup lines 296-304; Table II lines 293-300; Figure 5/scaling lines 323-350; Table III lines 352-363; discussion lines 374-380.,high,coming-soon-no-download-link,,"The paper/project reports the tracked RoboCasa result as Human50 + AnchorDream300 at 30.7% average success: https://arxiv.org/abs/2512.11797 and https://junjieye.com/AnchorDream/.; The official project page shows Code (Coming Soon) and provides no model/checkpoint download link.; The reported number depends on AnchorDream-generated demonstrations and downstream policy training; public base video-model or policy-family artifacts are insufficient for the tracked policy number. Notes: No number-associated AnchorDream model, generated-data artifact, or downstream RoboCasa policy checkpoint was found.",high,"RoboCasa setup states 24 tabletop tasks, each with 50 human teleoperated demonstrations; Table I reports Human50 Average 22.5%, AnchorDream300 30.7%, MimicGen300 33.3%.",high,official-ish,Reports RSS24-style RoboCasa success on 24 tabletop tasks with 50 human demonstrations per task.
148,AnyTask: an Automated Task and Data Generation Framework for Advancing Sim-to-Real Policy Learning,2025,arXiv.org,n/a,n/a,n/a,2512.17853,,2025-12-19,arXiv API published date,10.48550/arXiv.2512.17853,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/1a970e5f657f39b9ea1a1c5188866129ad82e380,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa is listed in a comparison table of related task/data generation frameworks and cited in references; no RoboCasa data use or results are shown.,high,,
149,"ArtVIP: Articulated Digital Assets of Visual Realism, Modular Interaction, and Physical Fidelity for Robot Learning",2025,arXiv.org,n/a,n/a,n/a,2506.04941,,2025-06-05,arXiv API published date,10.48550/arXiv.2506.04941,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/5ccdfea6bc459a8013edf19c0e499e2f38408947,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,No cached full text or draft contexts were available for audit.,high,,
150,Assistax: A Hardware-Accelerated Reinforcement Learning Benchmark for Assistive Robotics,2025,arXiv.org,n/a,n/a,n/a,2507.21638,,2025-07-29,arXiv API published date,10.48550/arXiv.2507.21638,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/0f9f3aa5fb6ec296a2c8c0ed60a7a4123d93292e,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only in the references section as a cited prior benchmark paper.,high,,
